time,站點,人次
2018-12-01 07:00:00,劍南路,157
2018-12-01 07:00:00,劍潭,762
2018-12-01 07:00:00,動物園,102
2018-12-01 07:00:00,北投,601
2018-12-01 07:00:00,北門,155
2018-12-01 07:00:00,南京三民,405
2018-12-01 07:00:00,南京復興,456
2018-12-01 07:00:00,南勢角,1095
2018-12-01 07:00:00,南港,393
2018-12-01 07:00:00,南港展覽館,874
2018-12-01 07:00:00,南港軟體園區,54
2018-12-01 07:00:00,古亭,627
2018-12-01 07:00:00,台北101/世貿,293
2018-12-01 07:00:00,台北小巨蛋,219
2018-12-01 07:00:00,台北橋,372
2018-12-01 07:00:00,台北車站,2546
2018-12-01 07:00:00,台大醫院,135
2018-12-01 07:00:00,台電大樓,398
2018-12-01 07:00:00,唭哩岸,324
2018-12-01 07:00:00,善導寺,234
2018-12-01 07:00:00,國父紀念館,251
2018-12-01 07:00:00,圓山,828
2018-12-01 07:00:00,土城,330
2018-12-01 07:00:00,士林,610
2018-12-01 07:00:00,大坪林,537
2018-12-01 07:00:00,大安,314
2018-12-01 07:00:00,大安森林公園,151
2018-12-01 07:00:00,大橋頭站,302
2018-12-01 07:00:00,大湖公園,92
2018-12-01 07:00:00,大直,174
2018-12-01 07:00:00,奇岩,305
2018-12-01 07:00:00,小南門,110
2018-12-01 07:00:00,小碧潭,65
2018-12-01 07:00:00,市政府,508
2018-12-01 07:00:00,府中,1079
2018-12-01 07:00:00,後山埤,512
2018-12-01 07:00:00,徐匯中學,515
2018-12-01 07:00:00,復興崗,181
2018-12-01 07:00:00,忠孝復興,362
2018-12-01 07:00:00,忠孝敦化,304
2018-12-01 07:00:00,忠孝新生,348
2018-12-01 07:00:00,忠義,85
2018-12-01 07:00:00,文德,173
2018-12-01 07:00:00,新北投,89
2018-12-01 07:00:00,新埔,1571
2018-12-01 07:00:00,新店,464
2018-12-01 07:00:00,新店區公所,377
2018-12-01 07:00:00,新莊,427
2018-12-01 07:00:00,昆陽,314
2018-12-01 07:00:00,明德,402
2018-12-01 07:00:00,景安,1040
2018-12-01 07:00:00,景美,511
2018-12-01 07:00:00,木柵,104
2018-12-01 07:00:00,東湖,276
2018-12-01 07:00:00,東門,373
2018-12-01 07:00:00,松山,518
2018-12-01 07:00:00,松山機場,61
2018-12-01 07:00:00,松江南京,309
2018-12-01 07:00:00,板橋,1200
2018-12-01 07:00:00,民權西路,507
2018-12-01 07:00:00,永安市場,1036
2018-12-01 07:00:00,永寧,479
2018-12-01 07:00:00,永春,484
2018-12-01 07:00:00,江子翠,1012
2018-12-01 07:00:00,海山,1071
2018-12-01 07:00:00,淡水,1255
2018-12-01 07:00:00,港墘,218
2018-12-01 07:00:00,石牌,821
2018-12-01 07:00:00,科技大樓,245
2018-12-01 07:00:00,竹圍,460
2018-12-01 07:00:00,紅樹林,283
2018-12-01 07:00:00,芝山,651
2018-12-01 07:00:00,菜寮,343
2018-12-01 07:00:00,萬芳社區,112
2018-12-01 07:00:00,萬芳醫院,326
2018-12-01 07:00:00,萬隆,438
2018-12-01 07:00:00,葫洲,247
2018-12-01 07:00:00,蘆洲,592
2018-12-01 07:00:00,行天宮,414
2018-12-01 07:00:00,西湖,153
2018-12-01 07:00:00,西門,1005
2018-12-01 07:00:00,象山,277
2018-12-01 07:00:00,輔大,333
2018-12-01 07:00:00,辛亥,99
2018-12-01 07:00:00,迴龍,463
2018-12-01 07:00:00,關渡,313
2018-12-01 07:00:00,雙連,352
2018-12-01 07:00:00,頂埔,396
2018-12-01 07:00:00,頂溪,1377
2018-12-01 07:00:00,頭前庄,174
2018-12-01 07:00:00,麟光,184
2018-12-01 07:00:00,龍山寺,958
2018-12-01 08:00:00,七張,980
2018-12-01 08:00:00,三和國中,857
2018-12-01 08:00:00,三民高中,983
2018-12-01 08:00:00,三重,246
2018-12-01 08:00:00,三重國小,775
2018-12-01 08:00:00,中山,709
2018-12-01 08:00:00,中山國中,516
2018-12-01 08:00:00,中山國小,629
2018-12-01 08:00:00,中正紀念堂,709
2018-12-01 08:00:00,丹鳳,729
2018-12-01 08:00:00,亞東醫院,1392
2018-12-01 08:00:00,信義安和,500
2018-12-01 08:00:00,先嗇宮,133
2018-12-01 08:00:00,內湖,483
2018-12-01 08:00:00,公館,882
2018-12-01 08:00:00,六張犁,469
2018-12-01 08:00:00,劍南路,285
2018-12-01 08:00:00,劍潭,1248
2018-12-01 08:00:00,動物園,185
2018-12-01 08:00:00,北投,983
2018-12-01 08:00:00,北門,287
2018-12-01 08:00:00,南京三民,719
2018-12-01 08:00:00,南京復興,750
2018-12-01 08:00:00,南勢角,1564
2018-12-01 08:00:00,南港,700
2018-12-01 08:00:00,南港展覽館,1322
2018-12-01 08:00:00,南港軟體園區,69
2018-12-01 08:00:00,古亭,1115
2018-12-01 08:00:00,台北101/世貿,505
2018-12-01 08:00:00,台北小巨蛋,362
2018-12-01 08:00:00,台北橋,489
2018-12-01 08:00:00,台北車站,6647
2018-12-01 08:00:00,台大醫院,299
2018-12-01 08:00:00,台電大樓,715
2018-12-01 08:00:00,唭哩岸,518
2018-12-01 08:00:00,善導寺,440
2018-12-01 08:00:00,國父紀念館,393
2018-12-01 08:00:00,圓山,1289
2018-12-01 08:00:00,土城,524
2018-12-01 08:00:00,士林,1044
2018-12-01 08:00:00,大坪林,1005
2018-12-01 08:00:00,大安,495
2018-12-01 08:00:00,大安森林公園,320
2018-12-01 08:00:00,大橋頭站,626
2018-12-01 08:00:00,大湖公園,188
2018-12-01 08:00:00,大直,364
2018-12-01 08:00:00,奇岩,494
2018-12-01 08:00:00,小南門,202
2018-12-01 08:00:00,小碧潭,107
2018-12-01 08:00:00,市政府,1048
2018-12-01 08:00:00,府中,1883
2018-12-01 08:00:00,後山埤,791
2018-12-01 08:00:00,徐匯中學,774
2018-12-01 08:00:00,復興崗,241
2018-12-01 08:00:00,忠孝復興,673
2018-12-01 08:00:00,忠孝敦化,432
2018-12-01 08:00:00,忠孝新生,624
2018-12-01 08:00:00,忠義,127
2018-12-01 08:00:00,文德,252
2018-12-01 08:00:00,新北投,165
2018-12-01 08:00:00,新埔,2443
2018-12-01 08:00:00,新店,814
2018-12-01 08:00:00,新店區公所,762
2018-12-01 08:00:00,新莊,565
2018-12-01 08:00:00,昆陽,555
2018-12-01 08:00:00,明德,684
2018-12-01 08:00:00,景安,1699
2018-12-01 08:00:00,景美,893
2018-12-01 08:00:00,木柵,210
2018-12-01 08:00:00,東湖,500
2018-12-01 08:00:00,東門,674
2018-12-01 08:00:00,松山,762
2018-12-01 08:00:00,松山機場,137
2018-12-01 08:00:00,松江南京,503
2018-12-01 08:00:00,板橋,1937
2018-12-01 08:00:00,民權西路,793
2018-12-01 08:00:00,永安市場,1656
2018-12-01 08:00:00,永寧,839
2018-12-01 08:00:00,永春,792
2018-12-01 08:00:00,江子翠,1547
2018-12-01 08:00:00,海山,1538
2018-12-01 08:00:00,淡水,1992
2018-12-01 08:00:00,港墘,415
2018-12-01 08:00:00,石牌,1240
2018-12-01 08:00:00,科技大樓,441
2018-12-01 08:00:00,竹圍,624
2018-12-01 08:00:00,紅樹林,449
2018-12-01 08:00:00,芝山,998
2018-12-01 08:00:00,菜寮,530
2018-12-01 08:00:00,萬芳社區,166
2018-12-01 08:00:00,萬芳醫院,725
2018-12-01 08:00:00,萬隆,708
2018-12-01 08:00:00,葫洲,398
2018-12-01 08:00:00,蘆洲,1087
2018-12-01 08:00:00,行天宮,671
2018-12-01 08:00:00,西湖,255
2018-12-01 08:00:00,西門,1959
2018-12-01 08:00:00,象山,501
2018-12-01 08:00:00,輔大,539
2018-12-01 08:00:00,辛亥,187
2018-12-01 08:00:00,迴龍,664
2018-12-01 08:00:00,關渡,507
2018-12-01 08:00:00,雙連,641
2018-12-01 08:00:00,頂埔,582
2018-12-01 08:00:00,頂溪,2269
2018-12-01 08:00:00,頭前庄,253
2018-12-01 08:00:00,麟光,245
2018-12-01 08:00:00,龍山寺,1464
2018-12-01 09:00:00,七張,1162
2018-12-01 09:00:00,三和國中,988
2018-12-01 09:00:00,三民高中,1022
2018-12-01 09:00:00,三重,424
2018-12-01 09:00:00,三重國小,938
2018-12-01 09:00:00,中山,849
2018-12-01 09:00:00,中山國中,564
2018-12-01 09:00:00,中山國小,802
2018-12-01 09:00:00,中正紀念堂,852
2018-12-01 09:00:00,丹鳳,828
2018-12-01 09:00:00,亞東醫院,1677
2018-12-01 09:00:00,信義安和,616
2018-12-01 09:00:00,先嗇宮,153
2018-12-01 09:00:00,內湖,570
2018-12-01 09:00:00,公館,1277
2018-12-01 09:00:00,六張犁,630
2018-12-01 09:00:00,劍南路,303
2018-12-01 09:00:00,劍潭,1491
2018-12-01 09:00:00,動物園,303
2018-12-01 09:00:00,北投,1173
2018-12-01 09:00:00,北門,398
