sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0011,三張犁,50,27,信義區,20200927193436,25.034937,121.55762,光復南路/基隆路一段364巷(鄰近大安親子館),Xinyi Dist.,Sanchangli,"The S.E. side of Road Guangfu South & Ln. 346, Sec. 1, Keelung Rd.",23,1
0012,臺北醫學大學,48,21,信義區,20200927193435,25.026679,121.561747,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),Xinyi Dist.,Taipei Medical University,"Aly. 59, Ln. 220, Wuxing St.",26,1
0013,福德公園,58,27,信義區,20200927193416,25.03809,121.58367,大道路/福德街路口北西側,Xinyi Dist.,Fude Park,The N.W. side of Road Dadao & St. Fude.,29,1
0014,榮星花園,32,11,中山區,20200927193415,25.06424,121.54037,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),Zhongshan Dist.,Rongxing Park,The S.W. side of St.Wuchang & Road Longjiang.,21,1
0016,松山家商,48,13,信義區,20200927193443,25.036084,121.579135,林口街/福德街(東南側),Xinyi Dist.,Songshan Vocational High School,The S.E. side of St. Linkou & St. Fude.,35,1
0017,民生光復路口,34,21,松山區,20200927193442,25.05862,121.55514,光復北路/民生東路(西北側),Songshan Dist.,Minsheng & Guangfu Intersection,The N.W. side of Road Guangfu S & Road Minsheng E.,12,1
0018,臺北市藝文推廣處,40,19,松山區,20200927193427,25.049408,121.55261,北寧路34號 對側(鄰近台北田徑場),Songshan Dist.,Taipei City Arts Promotion Office,"No.25, Sec. 3, Bade Rd.",21,1
0019,象山公園,30,18,信義區,20200927193438,25.02863,121.56981,松仁路153巷17號對面(鄰近象山步道),Xinyi Dist.,Xiangshan Park,"No.17, Ln. 153, Songren Rd",12,1
0020,捷運科技大樓站,58,35,大安區,20200927193432,25.025896,121.543293,科技大樓站對面(復興南路2段西側)(鄰近資訊科學展示中心),Daan Dist.,MRT Technology Bldg. Sta.,"No.235, Sec. 2, Fusing S. Rd.",23,1
0021,民生敦化路口,66,10,松山區,20200927193444,25.057985,121.548982,敦化民生路口公車站旁,Songshan Dist.,Minsheng & Dunhua Intersection,The side of bus stop- Dunhua Minsheng Intersection.,56,1
0022,松山車站,44,7,信義區,20200927193437,25.048824,121.57845,松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔),Xinyi Dist.,Songshan Rail Sta.,Bicycle parking lot- West exit in Songshan station,37,1
0023,東新國小,32,19,南港區,20200927193428,25.055074,121.602798,東新國小側門(東明街62號前),Nangang Dist.,Dongxin Elementary School,"A side entrance of Dongxin Elementery School(front of No. 62, Dongxin St.)",13,1
0024,信義建國路口,46,24,大安區,20200927193441,25.03293,121.53747,信義路三段/建國南路二段(西南側)(鄰近大安森林公園),Daan Dist.,Xinyi & Jianguo Intersection,"The N.S. side of Lianyun St. & Sec. 2, Xinyi Rd.",22,1
0025,永吉松信路口,30,14,信義區,20200927193427,25.04543,121.57205,松信路/永吉路南西側人行道,Xinyi Dist.,Yongji & Songxin Intersection,The sidewalk- the S.W. side of Songxin Rd. & Yongji Rd.,15,1
0026,捷運昆陽站(1號出口),72,20,南港區,20200927193445,25.050142,121.592375,捷運昆陽站1號出口外停車場旁,Nangang Dist.,MRT Kunyang Sta. (Exit 1),The side of parking lots in the MRT Kunyang station (exit 1),50,1
0027,捷運南港展覽館站(5號出口),38,28,南港區,20200927193432,25.05469,121.61669,捷運南港展覽館站（5號出口）南側,Nangang Dist.,MRT Nangang Exhibition Center Sta. (Exit 5),The N.E side of Academia Rd. & Shihmin Blvd.,10,1
0028,五常公園,32,6,信義區,20200927193428,25.04814,121.57467,松隆路/虎林街30巷口(西南側),Xinyi Dist.,Wuchang Park,The S.W side of Songlong Rd. & Hulin St.,26,1
0029,金山愛國路口,54,12,大安區,20200927193418,25.03164,121.52655,愛國東路/金山南路(西南側),Daan Dist.,Jinshan & Aiguo Intersection,The S.W side of Aiguo St. & Jinshan Rd.,42,1
0030,基隆長興路口,74,3,大安區,20200927193437,25.017054,121.544352,基隆路/長興街(東南側),Daan Dist.,Keelung & Changxing Intersection,The S.W side of Keelung Rd. & Changsing St.,71,1
0031,辛亥新生路口,30,15,大安區,20200927193421,25.022413,121.53456,辛亥路/新生南路(高架橋下),Daan Dist.,Xinhai & Xinsheng Intersection,Under the bridge- Sinhai Rd. & Shinsheng S. Rd.,14,1
0032,捷運六張犁站,38,5,大安區,20200927193425,25.023884,121.553161,捷運出口外和平東路側,Daan Dist.,MRT Liuzhangli Sta.,The outside of the MRT exit and the side of Heping E. Rd.,32,1
0033,中崙高中,46,25,松山區,20200927193441,25.04878,121.56087,八德路四段91巷(中崙高中)旁(鄰近京華城/中保寶貝城(BabyBoss City)),Songshan Dist.,Zhonglun High School,"The side of Ln. 91, Sec. 4, Bade Rd. ( beside Zhong-Lun High School)",21,1
